txdate,storecode,tillid,tendercode,cashfloat,cashfloatbase,depositdr,depositdrbase,depositcr,depositcrbase,salesdr,salesdrbase,salescr,salescrbase,pettycash,pettycashbase,cashlift,cashliftbase,excessmoney
2010-01-01 00:00:00.000,11014,14,ST,0.00,0.00,0.00,0.00,0.00,0.00,4291.40,4291.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,OT,0.00,0.00,0.00,0.00,0.00,0.00,12870.00,12870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,OT,0.00,0.00,0.00,0.00,0.00,0.00,12038.30,12038.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,XD,0.00,0.00,0.00,0.00,0.00,0.00,13038.90,13038.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,30,DK,0.00,0.00,0.00,0.00,0.00,0.00,8686.00,8686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,30,ST,0.00,0.00,0.00,0.00,0.00,0.00,9091.00,9091.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,AB,0.00,0.00,0.00,0.00,0.00,0.00,2330.00,2330.00,296.00,296.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,31,CH,0.00,0.00,0.00,0.00,0.00,0.00,12358.40,12358.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,ST,0.00,0.00,0.00,0.00,0.00,0.00,4549.20,4549.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,14,OT,0.00,0.00,0.00,0.00,0.00,0.00,13255.40,13255.40,680.00,680.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,OT,0.00,0.00,0.00,0.00,0.00,0.00,15689.00,15689.00,99.00,99.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,AB,0.00,0.00,0.00,0.00,0.00,0.00,99.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,ST,0.00,0.00,0.00,0.00,0.00,0.00,3763.70,3763.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,OT,0.00,0.00,0.00,0.00,0.00,0.00,24246.00,24246.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,ST,0.00,0.00,0.00,0.00,0.00,0.00,35908.70,35908.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,ST,0.00,0.00,0.00,0.00,0.00,0.00,5294.10,5294.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,ST,0.00,0.00,0.00,0.00,0.00,0.00,7167.00,7167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,13,CH,0.00,0.00,0.00,0.00,0.00,0.00,9925.00,9925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,XD,0.00,0.00,0.00,0.00,0.00,0.00,4867.10,4867.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,09,DK,0.00,0.00,0.00,0.00,0.00,0.00,11809.80,11809.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,13,AG,0.00,0.00,0.00,0.00,0.00,0.00,15132.50,15132.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,AB,0.00,0.00,0.00,0.00,0.00,0.00,99.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,ST,0.00,0.00,0.00,0.00,0.00,0.00,2788.30,2788.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,31,AG,0.00,0.00,0.00,0.00,0.00,0.00,29145.00,29145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,OT,0.00,0.00,0.00,0.00,0.00,0.00,17312.10,17312.10,987.00,987.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,13,OT,0.00,0.00,0.00,0.00,0.00,0.00,2648.50,2648.50,199.50,199.50,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,09,XD,0.00,0.00,0.00,0.00,0.00,0.00,21693.00,21693.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,OT,0.00,0.00,0.00,0.00,0.00,0.00,24048.80,24048.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,OT,0.00,0.00,0.00,0.00,0.00,0.00,1811.00,1811.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,XD,0.00,0.00,0.00,0.00,0.00,0.00,11272.00,11272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,ST,0.00,0.00,0.00,0.00,0.00,0.00,17579.60,17579.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,LF,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,OT,0.00,0.00,0.00,0.00,0.00,0.00,12297.00,12297.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,14,XD,0.00,0.00,0.00,0.00,0.00,0.00,9238.50,9238.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,AB,0.00,0.00,0.00,0.00,0.00,0.00,900.10,900.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,29,ST,0.00,0.00,0.00,0.00,0.00,0.00,971.60,971.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,09,ST,0.00,0.00,0.00,0.00,0.00,0.00,10895.20,10895.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,29,OT,0.00,0.00,0.00,0.00,0.00,0.00,4738.80,4738.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,ST,0.00,0.00,0.00,0.00,0.00,0.00,3286.50,3286.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,OT,0.00,0.00,0.00,0.00,0.00,0.00,7181.00,7181.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
