category,desci,longdesc
356000,座台/鍾燈,NULL
357100,水杯,NULL
357200,套裝杯,NULL
357300,酒杯,NULL
357400,花瓶,NULL
357500,儲物瓶,NULL
357600,香水瓶,NULL
358000,其他精品,NULL
360000,文具,NULL
361100,小型學生用品,NULL
361101,鉛筆/筆盒,NULL
361102,格尺,NULL
361103,橡皮,NULL
361104,本,NULL
361105,銷筆器,NULL
361106,圓規,NULL
361107,三角尺,NULL
361108,量角器,NULL
361200,大型學生用品,NULL
361201,文具盒,NULL
361202,文具套盒,NULL
361203,"彩筆套裝(水,油彩,臘)","彩筆套裝(水彩,油彩,臘等)"
361204,書包,NULL
362100,小型辦公用品,NULL
362101,三針一釘,NULL
362102,漿糊/膠水,NULL
362103,墨水,NULL
362104,辦公盤,NULL
362105,印泥,NULL
362106,塗改液,NULL
362107,筆筒,NULL
362108,各類印章,NULL
362109,膠紙,NULL
362110,膠紙座,NULL
362111,信封,NULL
362112,信紙,NULL
362113,橡皮圈,NULL
362114,釘書機/釘,NULL
362200,大型辦公用品,NULL
362201,金櫃,NULL
362202,黑板/書寫板,NULL
362203,資料簿,NULL
362204,文件夾/檔案架,NULL
362205,印紙,NULL
362300,辦公器材,NULL
362301,便攜式計算機,NULL
362302,大型計算器,NULL
362303,電腦記事薄,NULL
362304,電腦打印機,NULL
362305,影印機,NULL
362306,夾萬,NULL
362307,傳真機,NULL
362308,電腦字典,NULL
363100,圓珠筆,NULL
363101,高中低檔圓珠筆,NULL
363102,筆芯,NULL
363103,碳素筆,NULL
363104,螢光筆,NULL
363105,箱頭筆,NULL
363200,依金筆,NULL
363201,進口依金筆,NULL
363202,普通依金筆,NULL
363300,禮品筆,NULL
363301,盒裝普通筆,NULL
363302,多用特殊套裝,NULL
363400,專業筆,NULL
363401,素描筆,NULL
363402,水彩筆,NULL
363403,油畫筆,NULL
363404,針筆,NULL
363405,毛筆,NULL
363406,繪圖筆,NULL
364100,簿記手冊,NULL
364200,日記本,NULL
364300,工作手冊,NULL
364400,萬用手冊,NULL
364500,通訊錄,NULL
370000,眼鏡,NULL
371000,時裝鏡,NULL
372100,長戴型隱形眼鏡,NULL
372200,短戴形隱形眼鏡,NULL
372300,日換型隱形眼鏡,NULL
373000,太陽鏡,NULL
374100,光學眼鏡鏡框,NULL
374200,光學眼鏡鏡片,NULL
375100,隱形藥水,NULL
375200,眼藥水,NULL
375300,眼鏡布,NULL
375400,其他配件,NULL
380000,CD店/書店/衝印店,NULL
381100,CD,NULL
381200,VCD,NULL
381300,DVD,NULL
381400,LD,NULL
381500,黑膠唱片,NULL
381600,CD店其他,NULL
382100,教課書,NULL
382200,休閑書,NULL
382300,雜志,NULL
382400,書店其他,NULL
383100,衛灑,NULL
383200,菲林,NULL
383300,照相機,NULL
383400,衛灑店雜項,NULL
383500,衛灑店其他,NULL
390000,玩具,NULL
391100,超合金男孩玩具,NULL
391200,模型玩具,NULL
391300,公仔,NULL
391400,卡通人物玩具,NULL
391500,其他男孩玩具,NULL
391501,槍,NULL
391502,小車,NULL
391503,小船,NULL
391504,飛機,NULL
392100,廚具,NULL
392200,洋娃娃,NULL
392300,毛公仔,NULL
