season,desci,longdesc,nwseason
B96130,BADEYA(芭地婭),NULL,B96130
B96380,TRAVELPRO(特普羅鐵塔,NULL,B96380
B96440,BAI CHUN DI GAO(百純,BAI CHUN DI GAO(百純帝高),B96440
B96510,LONG QING XIA(龍慶峽,NULL,B96510
B96680,NOTTING HILL(諾丁山),NULL,B96680
B97260,WANKO,NULL,B97260
B97330,CAROL GRANDAMBER(嘉,NULL,B97330
B98050,U.S.POLO ASS'N,NULL,B98050
B98440,CAMENAE(家美樂/嘉媚,NULL,B98440
B98750,CUE,NULL,B98750
B98800,NINO RIVA(尼諾里拉),NULL,B98800
C00130,JUST GOLD,JUST GOLD,C00130
C00140,F8.派,NULL,C00140
C01930,SHSS(三和松石),NULL,C01930
C02220,LUKFOOK JEWELLBRY(六,NULL,C02220
C02620,ENWEIS(伊維斯),NULL,C02620
C02650,ARMANI JEANS,NULL,C02650
C02980,MUDD,NULL,C02980
C03170,COUBER.G(傲巴斯),NULL,C03170
C03340,TATA(他她),NULL,C03340
C03850,繡履,繡履,C03850
C04410,EDC ESPRIT,NULL,C04410
C04780,FORTUNATE LADY(天之,NULL,C04780
C04790,KAPPA(卡帕),NULL,C04790
C04820,DIDOT,NULL,C04820
C04840,CAN.TORP(駱駝牌),NULL,C04840
C05010,GILLIVO(嘉裡奧),GILLIVO(嘉裡奧),C05010
C05150,金象大藥房,NULL,C05150
C05240,BORIDA(保日達),NULL,C05240
C05360,TEMIX,NULL,C05360
C05410,DANGEDIYA(丹戈迪亞),NULL,C05410
C05730,老鳳祥,NULL,C05730
C05910,INFANCEE(嬰方喜),NULL,C05910
C05970,SANTA BARBARA POLO&R,NULL,C05970
C06040,GOLDPOOL(高爾普),NULL,C06040
C06130,KGG(卡祺),NULL,C06130
C06590,飛亞達,NULL,C06590
C06600,SLIAOT(薩裡奧托),NULL,C06600
C06610,CARDKAI(歌德克依),NULL,C06610
C06660,U2B(優2璧),NULL,C06660
C06840,PEPCO(小豬班納),NULL,C06840
C06970,周大生,NULL,C06970
C07430,FOREST PRINCESS(森林,NULL,C07430
C07640,L'ALPINA,NULL,C07640
C08720,SILVERLIT(銀輝玩具),NULL,C08720
C08740,CHAOSIONS(超婕緦),NULL,C08740
C08820,JASONWOOD,JASONWOOD,C08820
C08880,OLYMPUS(奧林巴斯),NULL,C08880
C09480,嘉賓美容院,NULL,C09480
